year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2022,5,DL,Delta Air Lines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",2397,325,157.71,3.82,89.47,0,74,87,1,23101,15101,268,2477,0,5255
2022,5,DL,Delta Air Lines Inc.,SFO,"San Francisco, CA: San Francisco International",767,155,93.51,1.86,42.19,0,17.43,21,1,8588,6032,292,1196,0,1068
2022,5,DL,Delta Air Lines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",4156,567,248.13,22.27,120.08,0,176.52,112,9,46365,26474,2838,4433,0,12620
2022,5,DL,Delta Air Lines Inc.,TPA,"Tampa, FL: Tampa International",1103,254,129.64,1.56,68.91,0,53.89,44,0,14067,8121,93,2863,0,2990
2022,4,DL,Delta Air Lines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",17372,2502,858.72,50.8,509.31,0,1083.18,201,23,193242,86813,7128,22886,0,76415
2022,4,DL,Delta Air Lines Inc.,BNA,"Nashville, TN: Nashville International",453,76,48.12,4.42,11.06,0,12.41,2,1,4992,3515,292,421,0,764
2022,4,DL,Delta Air Lines Inc.,BOS,"Boston, MA: Logan International",1643,314,139.09,8,77.35,0,89.56,14,8,28154,17714,964,2779,0,6697
2022,4,DL,Delta Air Lines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",415,53,34.41,0,9.04,0,9.56,4,0,2630,1720,0,294,0,616
2022,4,DL,Delta Air Lines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",408,56,33.62,1.9,7.76,0,12.72,1,0,4563,3396,116,258,0,793
2022,4,DL,Delta Air Lines Inc.,DAL,"Dallas, TX: Dallas Love Field",145,28,13.45,0.23,9.6,0,4.72,0,1,1321,682,14,439,0,186
2022,4,DL,Delta Air Lines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",656,156,90.04,6.65,34.35,0,24.96,9,0,9633,6411,473,1210,0,1539
2022,4,DL,Delta Air Lines Inc.,DEN,"Denver, CO: Denver International",833,153,75.43,0.42,50.74,1,25.4,11,1,8656,5143,8,2049,17,1439
2022,4,DL,Delta Air Lines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",939,189,93.41,2,41.11,0,52.48,9,11,13462,7766,211,1754,0,3731
2022,4,DL,Delta Air Lines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",4710,695,259.88,8.63,160.06,0,266.43,63,0,55854,25876,584,7721,0,21673
2022,4,DL,Delta Air Lines Inc.,EWR,"Newark, NJ: Newark Liberty International",397,125,52.63,0,58.61,0,13.76,8,2,8379,4788,0,2738,0,853
2022,4,DL,Delta Air Lines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",1023,280,106.11,3.51,101.96,0,68.42,26,0,22281,9025,201,6273,0,6782
2022,4,DL,Delta Air Lines Inc.,IAD,"Washington, DC: Washington Dulles International",171,30,17.62,0.1,5.38,0,6.9,1,0,2131,1333,8,269,0,521
2022,4,DL,Delta Air Lines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",542,112,58.81,1.95,27.53,0,23.71,2,2,6815,3611,246,1564,0,1394
2022,4,DL,Delta Air Lines Inc.,JFK,"New York, NY: John F. Kennedy International",2023,434,134.61,9.61,146.2,0,143.58,35,13,33650,10228,1245,9318,0,12859
2022,4,DL,Delta Air Lines Inc.,LAS,"Las Vegas, NV: McCarran International",1137,227,109.57,4.09,85.9,0,27.44,7,1,14618,9497,501,2876,0,1744
2022,4,DL,Delta Air Lines Inc.,LAX,"Los Angeles, CA: Los Angeles International",2394,477,193.98,8.25,185.08,1,88.69,14,0,30748,15994,1142,6193,51,7368
2022,4,DL,Delta Air Lines Inc.,LGA,"New York, NY: LaGuardia",2176,573,176.81,11.74,243.09,0.44,140.93,51,17,41605,16334,1536,11174,37,12524
2022,4,DL,Delta Air Lines Inc.,MCO,"Orlando, FL: Orlando International",1635,428,179.22,10.3,134.44,1.68,102.35,40,3,37199,19248,1230,8808,76,7837
2022,4,DL,Delta Air Lines Inc.,MDW,"Chicago, IL: Chicago Midway International",90,25,17.13,0.63,1.99,0,5.25,1,0,1295,855,51,60,0,329
2022,4,DL,Delta Air Lines Inc.,MIA,"Miami, FL: Miami International",737,216,75.57,1.52,92.83,0,46.08,20,3,15917,5810,76,6382,0,3649
2022,4,DL,Delta Air Lines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",4470,717,250.18,17.89,197.46,0,251.47,33,8,57858,26844,2317,9112,0,19585
2022,4,DL,Delta Air Lines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",795,152,83.06,2.77,36.64,0,29.52,7,2,11228,6186,526,2511,0,2005
2022,4,DL,Delta Air Lines Inc.,PHL,"Philadelphia, PA: Philadelphia International",321,54,34.05,2.67,11.67,0,5.61,0,0,2897,1670,255,483,0,489
